2026-07-03 15:11:00.049 [main] INFO  com.dubboai.aitransfer.AiTransferApplication - Starting AiTransferApplication using Java 21.0.10 with PID 42020 (D:\anji\dz\dubbo-ai-agent\ai-transfer\target\classes started by zhangjw in D:\anji\dz\dubbo-ai-agent)
2026-07-03 15:11:00.051 [main] INFO  com.dubboai.aitransfer.AiTransferApplication - No active profile set, falling back to 1 default profile: "default"
2026-07-03 15:11:00.400 [main] INFO  com.dubboai.aitransfer.AiTransferApplication - Started AiTransferApplication in 0.857 seconds (process running for 1.733)
2026-07-03 15:12:14.581 [main] INFO  com.dubboai.aitransfer.AiTransferApplication - Starting AiTransferApplication using Java 21.0.10 with PID 30424 (D:\anji\dz\dubbo-ai-agent\ai-transfer\target\classes started by zhangjw in D:\anji\dz\dubbo-ai-agent)
2026-07-03 15:12:14.584 [main] INFO  com.dubboai.aitransfer.AiTransferApplication - No active profile set, falling back to 1 default profile: "default"
2026-07-03 15:12:14.903 [main] INFO  com.dubboai.aitransfer.AiTransferApplication - Started AiTransferApplication in 0.848 seconds (process running for 1.804)
2026-07-03 15:13:40.150 [main] INFO  com.dubboai.aitransfer.AiTransferApplication - Starting AiTransferApplication using Java 21.0.10 with PID 10372 (D:\anji\dz\dubbo-ai-agent\ai-transfer\target\classes started by zhangjw in D:\anji\dz\dubbo-ai-agent)
2026-07-03 15:13:40.153 [main] INFO  com.dubboai.aitransfer.AiTransferApplication - No active profile set, falling back to 1 default profile: "default"
2026-07-03 15:13:40.619 [main] INFO  com.dubboai.aitransfer.AiTransferApplication - Started AiTransferApplication in 1.241 seconds (process running for 2.382)
2026-07-03 15:14:37.099 [main] INFO  com.dubboai.aitransfer.AiTransferApplication - Starting AiTransferApplication using Java 21.0.10 with PID 31652 (D:\anji\dz\dubbo-ai-agent\ai-transfer\target\classes started by zhangjw in D:\anji\dz\dubbo-ai-agent)
2026-07-03 15:14:37.101 [main] INFO  com.dubboai.aitransfer.AiTransferApplication - No active profile set, falling back to 1 default profile: "default"
2026-07-03 15:14:37.427 [main] INFO  com.dubboai.aitransfer.AiTransferApplication - Started AiTransferApplication in 0.856 seconds (process running for 1.76)
2026-07-03 15:24:30.517 [main] INFO  com.dubboai.aitransfer.AiTransferApplication - Starting AiTransferApplication using Java 21.0.10 with PID 29584 (D:\anji\dz\dubbo-ai-agent\ai-transfer\target\classes started by zhangjw in D:\anji\dz\dubbo-ai-agent)
2026-07-03 15:24:30.519 [main] INFO  com.dubboai.aitransfer.AiTransferApplication - No active profile set, falling back to 1 default profile: "default"
2026-07-03 15:24:30.882 [main] INFO  com.dubboai.aitransfer.AiTransferApplication - Started AiTransferApplication in 0.896 seconds (process running for 1.48)
2026-07-03 15:26:41.523 [main] INFO  com.dubboai.aitransfer.AiTransferApplication - Starting AiTransferApplication using Java 21.0.10 with PID 43360 (D:\anji\dz\dubbo-ai-agent\ai-transfer\target\classes started by zhangjw in D:\anji\dz\dubbo-ai-agent)
2026-07-03 15:26:41.525 [main] INFO  com.dubboai.aitransfer.AiTransferApplication - No active profile set, falling back to 1 default profile: "default"
2026-07-03 15:26:41.864 [main] INFO  com.dubboai.aitransfer.AiTransferApplication - Started AiTransferApplication in 0.888 seconds (process running for 1.879)
